Model Name,Metric Type,Metric Values,Timestamp
Logistic Regression,confusion_matrix,"[[133, 0], [49, 0]]",2025-02-22T00:59:19.984006
Logistic Regression,classification_report,"{""0"": {""precision"": 0.7307692307692307, ""recall"": 1.0, ""f1-score"": 0.8444444444444444, ""support"": 133.0}, ""1"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 49.0}, ""accuracy"": 0.7307692307692307, ""macro avg"": {""precision"": 0.36538461538461536, ""recall"": 0.5, ""f1-score"": 0.4222222222222222, ""support"": 182.0}, ""weighted avg"": {""precision"": 0.5340236686390533, ""recall"": 0.7307692307692307, ""f1-score"": 0.6170940170940171, ""support"": 182.0}}",2025-02-22T00:59:19.996126
Random Forest Classifier,confusion_matrix,"[[110, 23], [42, 7]]",2025-02-22T00:59:20.223000
Random Forest Classifier,classification_report,"{""0"": {""precision"": 0.7236842105263158, ""recall"": 0.8270676691729323, ""f1-score"": 0.7719298245614035, ""support"": 133.0}, ""1"": {""precision"": 0.23333333333333334, ""recall"": 0.14285714285714285, ""f1-score"": 0.17721518987341772, ""support"": 49.0}, ""accuracy"": 0.6428571428571429, ""macro avg"": {""precision"": 0.47850877192982455, ""recall"": 0.4849624060150376, ""f1-score"": 0.4745725072174106, ""support"": 182.0}, ""weighted avg"": {""precision"": 0.5916666666666667, ""recall"": 0.6428571428571429, ""f1-score"": 0.6118143459915611, ""support"": 182.0}}",2025-02-22T00:59:20.229045
